country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
CAN,Canada,Balsam Lake,3,44.651,-78.7587,Solar,,,,,Balsam Lake LP,,Natural Resources Canada,4.04
CAN,Canada,Balzac,120,51.1912,-113.9424,Gas,,,,,Encana/Nexen,,Natural Resources Canada,
CAN,Canada,Barr Creek,4.4,49.9278,-126.7602,Hydro,,,,,Synex (80%) / Ehattesaht Tribe (20%),,Natural Resources Canada,10.08
CAN,Canada,Barrachois,4,46.1529,-60.4071,Wind,,,,,,,Natural Resources Canada,
CAN,Canada,Barrage-Larocque,10.6,45.4791,-71.9532,Hydro,,,,,Hydro Bromptonville Inc/Kruger,,Natural Resources Canada,41.68
CAN,Canada,Barrett Chute,176,45.2499,-76.759,Hydro,,,,,,,Natural Resources Canada,708.93
CAN,Canada,Barrier,13,51.0342,-115.0409,Hydro,,,,,TransAlta (100%),,Natural Resources Canada,45.62
CAN,Canada,Barrington (Watts Wind II),3.2,43.5196,-65.6624,Wind,,,,,,,Natural Resources Canada,
CAN,Canada,Bassano,2,50.7807,-112.46,Solar,,,,,,,Natural Resources Canada,2.88
CAN,Canada,Batawa,5,44.1685,-77.5881,Hydro,,,,,Innergex Inc,,Natural Resources Canada,27.21
CAN,Canada,Bateston Wind Project,2.3,45.993,-59.9077,Wind,,,,,Celtic Current LP,,Natural Resources Canada,
CAN,Canada,Battle River,689,52.4685,-112.1339,Coal,,,,,ATCO Power,,Natural Resources Canada,
CAN,Canada,Bay D'espoir,604,47.9901,-55.7997,Hydro,,,,,,,Natural Resources Canada,1438.4
CAN,Canada,Bayside Power,290,45.2753,-66.0263,Gas,,,,,Emera Energy,,Natural Resources Canada,
CAN,Canada,Beamlight,10,44.2588,-79.293,Solar,,,,,Beamlight LP,,Natural Resources Canada,13.22
CAN,Canada,Bear Mountain,102,55.7041,-120.4264,Wind,,,,,Bear Mountain Wind LP,,Natural Resources Canada,
CAN,Canada,Beare Road LFG,5,43.8233,-79.1639,Biomass,,,,,E. S. Fox Ltd,,Natural Resources Canada,
CAN,Canada,Bearspaw,17,51.1012,-114.2823,Hydro,,,,,TransAlta (100%),,Natural Resources Canada,76.82
CAN,Canada,Beauharnois,1877,45.3141,-73.9088,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,4968.38
CAN,Canada,Beaumont,270,47.5561,-72.8362,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,1005.69
CAN,Canada,Becker Cogeneration,15,49.2105,-84.6673,Biomass,,,,,1721027 Ontario Inc O/A Becker Cogeneration Plant,,Natural Resources Canada,
CAN,Canada,Beechwood,112,46.5428,-67.6687,Hydro,,,,,,,Natural Resources Canada,476.03
CAN,Canada,Belding,1.6,45.146,-71.8078,Hydro,,,,,Ville de Coaticook,,Natural Resources Canada,5.13
